,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Effective To Date,mm,dd
70,Oregon,0,Basic,High School or Below,Employed,0,Rural,Divorced,Personal Auto,3,4,Agent,SUV,Medsize,2011-02-24,2,24
71,Oregon,0,Basic,Master,Employed,0,Rural,Married,Personal Auto,2,2,Web,Two-Door Car,Large,2011-02-11,2,11
72,Oregon,0,Basic,Master,other,0,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-02-12,2,12
73,Oregon,0,Basic,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,3,1,Agent,Sports Car,Medsize,2011-02-04,2,4
74,Oregon,1,Basic,Bachelor,Employed,0,Suburban,Divorced,Personal Auto,3,2,Branch,Two-Door Car,Medsize,2011-01-18,1,18
75,Oregon,0,Basic,Bachelor,Employed,0,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Small,2011-02-11,2,11
76,Oregon,0,Basic,High School or Below,Employed,1,Rural,Single,Personal Auto,1,2,Call Center,Four-Door Car,Medsize,2011-02-01,2,1
77,Nevada,0,Basic,College,Employed,0,Suburban,Married,Personal Auto,1,2,Agent,Four-Door Car,Medsize,2011-02-15,2,15
78,Washington,0,Extended,College,Employed,0,Rural,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-06,2,6
79,California,0,Basic,Bachelor,Employed,0,Rural,Single,Personal Auto,3,2,Branch,Luxury,Small,2011-02-27,2,27
80,California,0,Extended,College,Unemployed,1,Rural,Single,Personal Auto,3,3,Branch,Two-Door Car,Large,2011-01-26,1,26
81,California,1,Basic,High School or Below,Employed,0,Suburban,Single,Personal Auto,3,2,Call Center,Four-Door Car,Medsize,2011-02-26,2,26
82,California,0,Basic,Doctor,Employed,0,Suburban,Married,Personal Auto,1,3,Branch,SUV,Medsize,2011-01-27,1,27
83,Nevada,0,Basic,Master,Employed,0,Suburban,Married,Personal Auto,3,2,Call Center,Four-Door Car,Large,2011-01-16,1,16
84,Oregon,0,Extended,College,other,1,Suburban,Single,Personal Auto,3,2,Agent,Four-Door Car,Small,2011-01-27,1,27
85,Washington,0,Basic,High School or Below,Employed,0,Suburban,Married,Personal Auto,2,1,Call Center,Four-Door Car,Medsize,2011-02-28,2,28
86,California,1,Extended,College,other,0,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Medsize,2011-01-25,1,25
87,California,0,Basic,Bachelor,Employed,1,Urban,Married,Corporate Auto,2,3,Web,Four-Door Car,Medsize,2011-01-01,1,1
88,Oregon,0,Basic,Bachelor,Employed,1,Suburban,Divorced,Personal Auto,2,3,Branch,Four-Door Car,Medsize,2011-02-01,2,1
89,California,1,Extended,College,Employed,0,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Medsize,2011-02-19,2,19
90,Oregon,0,Premium,College,other,0,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Small,2011-01-27,1,27
91,Washington,1,Extended,Bachelor,Employed,1,Suburban,Married,Corporate Auto,3,2,Call Center,Two-Door Car,Medsize,2011-02-27,2,27
92,Oregon,0,Basic,Bachelor,Employed,1,Rural,Married,Corporate Auto,3,1,Agent,Four-Door Car,Medsize,2011-01-17,1,17
93,Oregon,0,Basic,Bachelor,Employed,0,Suburban,Married,Corporate Auto,1,1,Branch,Two-Door Car,Small,2011-02-10,2,10
94,California,0,Extended,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-24,1,24
95,Oregon,0,Basic,Bachelor,Employed,1,Suburban,Married,Personal Auto,3,1,Branch,Four-Door Car,Large,2011-02-24,2,24
96,Arizona,0,Basic,Master,other,1,Rural,Married,Personal Auto,3,1,Branch,SUV,Medsize,2011-02-15,2,15
97,California,0,Basic,Bachelor,other,0,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-02-16,2,16
98,Arizona,0,Basic,Bachelor,Employed,1,Urban,Married,Personal Auto,1,3,Web,Four-Door Car,Medsize,2011-01-22,1,22
99,Oregon,0,Extended,College,Employed,0,Suburban,Married,Personal Auto,2,1,Agent,Two-Door Car,Small,2011-02-25,2,25
100,California,1,Basic,College,Unemployed,1,Suburban,Married,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-11,1,11
101,California,1,Basic,College,Unemployed,0,Suburban,Single,Personal Auto,1,1,Branch,Four-Door Car,Medsize,2011-01-31,1,31
102,Oregon,0,Basic,Bachelor,Employed,0,Rural,Single,Corporate Auto,3,3,Call Center,Two-Door Car,Medsize,2011-01-12,1,12
103,California,1,Premium,College,Employed,0,Suburban,Married,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-02-16,2,16
104,California,0,Extended,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,3,1,Web,SUV,Medsize,2011-02-09,2,9
105,Oregon,0,Extended,Bachelor,Employed,1,Rural,Married,Personal Auto,3,1,Call Center,Four-Door Car,Small,2011-01-19,1,19
106,California,0,Basic,Bachelor,Employed,1,Rural,Married,Personal Auto,1,3,Branch,Four-Door Car,Medsize,2011-01-04,1,4
107,Oregon,0,Basic,High School or Below,Unemployed,0,Suburban,Married,Personal Auto,1,1,Agent,SUV,Medsize,2011-01-09,1,9
108,California,0,Basic,Bachelor,Employed,1,Rural,Married,Personal Auto,3,1,Agent,Two-Door Car,Medsize,2011-01-27,1,27
109,Oregon,0,Basic,College,Employed,0,Urban,Married,Corporate Auto,1,4,Agent,Four-Door Car,Medsize,2011-02-14,2,14
110,California,0,Extended,College,Employed,0,Suburban,Married,Personal Auto,3,4,Agent,Four-Door Car,Small,2011-02-27,2,27
111,Washington,0,Extended,High School or Below,Employed,0,Suburban,Divorced,Corporate Auto,2,2,Web,Four-Door Car,Small,2011-02-12,2,12
112,Arizona,0,Basic,College,Employed,0,Suburban,Married,Personal Auto,3,2,Branch,SUV,Medsize,2011-02-26,2,26
113,Oregon,0,Basic,Bachelor,Employed,0,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-20,2,20
114,Washington,0,Basic,High School or Below,Employed,0,Suburban,Married,Personal Auto,2,4,Branch,Four-Door Car,Medsize,2011-02-02,2,2
115,California,0,Basic,High School or Below,Unemployed,0,Suburban,Married,Corporate Auto,2,1,Agent,SUV,Medsize,2011-02-15,2,15
116,Oregon,1,Extended,High School or Below,other,0,Suburban,Divorced,Personal Auto,3,2,Agent,SUV,Medsize,2011-02-18,2,18
117,Arizona,0,Extended,High School or Below,Employed,0,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Medsize,2011-01-21,1,21
118,California,0,Basic,Bachelor,Employed,1,Suburban,Single,Personal Auto,2,3,Agent,Two-Door Car,Medsize,2011-01-15,1,15
119,California,0,Extended,College,Employed,1,Urban,Married,Corporate Auto,2,2,Call Center,Four-Door Car,Medsize,2011-02-05,2,5
120,Washington,0,Extended,College,Unemployed,0,Suburban,Married,Personal Auto,2,3,Web,Two-Door Car,Medsize,2011-02-24,2,24
121,California,0,Basic,Bachelor,Employed,0,Rural,Married,Personal Auto,3,1,Call Center,Sports Car,Medsize,2011-01-05,1,5
122,Oregon,0,Basic,High School or Below,Employed,1,Suburban,Married,Personal Auto,3,3,Branch,Two-Door Car,Small,2011-01-28,1,28
123,California,0,Basic,High School or Below,Employed,0,Suburban,Single,Personal Auto,3,3,Web,Luxury,Medsize,2011-01-12,1,12
124,Nevada,0,Basic,Bachelor,Employed,1,Rural,Married,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-16,2,16
125,Oregon,0,Premium,College,Employed,0,Suburban,Divorced,Personal Auto,2,1,Call Center,Four-Door Car,Medsize,2011-01-03,1,3
126,Oregon,0,Extended,Master,Employed,1,Rural,Single,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-02-07,2,7
127,Arizona,0,Extended,College,Employed,0,Urban,Married,Special Auto,2,1,Branch,Four-Door Car,Medsize,2011-01-13,1,13
128,Oregon,1,Basic,College,other,0,Suburban,Divorced,Personal Auto,2,2,Web,Four-Door Car,Medsize,2011-01-03,1,3
129,Washington,0,Basic,Master,Unemployed,1,Rural,Married,Personal Auto,1,2,Agent,Four-Door Car,Medsize,2011-02-17,2,17
130,Arizona,0,Basic,High School or Below,Employed,0,Suburban,Married,Personal Auto,3,1,Agent,Sports Car,Medsize,2011-01-21,1,21
131,Nevada,0,Basic,Bachelor,Employed,1,Rural,Married,Special Auto,2,1,Branch,Four-Door Car,Medsize,2011-01-26,1,26
132,Oregon,0,Basic,Bachelor,Employed,1,Urban,Married,Personal Auto,3,1,Call Center,Four-Door Car,Medsize,2011-01-31,1,31
133,Arizona,0,Premium,College,Employed,0,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-01-02,1,2
134,Arizona,0,Basic,High School or Below,Unemployed,1,Suburban,Single,Corporate Auto,2,1,Web,Four-Door Car,Small,2011-02-07,2,7
135,Arizona,0,Basic,High School or Below,Unemployed,0,Suburban,Single,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-26,1,26
136,Oregon,0,Basic,High School or Below,Employed,1,Rural,Married,Special Auto,2,1,Branch,Sports Car,Medsize,2011-01-11,1,11
137,Washington,0,Basic,College,Unemployed,1,Suburban,Single,Personal Auto,2,2,Agent,Four-Door Car,Small,2011-01-15,1,15
138,Oregon,0,Extended,College,Employed,1,Urban,Married,Personal Auto,3,4,Branch,Four-Door Car,Medsize,2011-02-08,2,8
139,Arizona,0,Extended,Bachelor,Employed,1,Urban,Single,Special Auto,3,3,Branch,Four-Door Car,Small,2011-01-11,1,11
140,Oregon,0,Basic,College,Unemployed,0,Suburban,Single,Personal Auto,1,4,Web,Two-Door Car,Large,2011-01-09,1,9
141,Arizona,0,Premium,Master,Employed,0,Urban,Married,Personal Auto,2,1,Call Center,SUV,Medsize,2011-02-04,2,4
142,California,0,Extended,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,2,3,Branch,Sports Car,Medsize,2011-01-21,1,21
143,Washington,0,Premium,High School or Below,Employed,0,Suburban,Married,Corporate Auto,3,3,Agent,SUV,Medsize,2011-02-16,2,16
144,Oregon,1,Extended,High School or Below,Unemployed,1,Suburban,Married,Personal Auto,1,1,Agent,Four-Door Car,Large,2011-02-24,2,24
145,Nevada,0,Extended,Bachelor,Employed,0,Urban,Married,Corporate Auto,2,4,Web,Four-Door Car,Medsize,2011-01-18,1,18
146,California,0,Basic,College,Unemployed,1,Suburban,Married,Corporate Auto,3,1,Call Center,Four-Door Car,Medsize,2011-01-30,1,30
147,Arizona,0,Basic,Bachelor,Employed,1,Suburban,Divorced,Corporate Auto,2,1,Call Center,Two-Door Car,Medsize,2011-01-09,1,9
148,Arizona,0,Extended,High School or Below,Employed,1,Rural,Married,Personal Auto,3,2,Web,Four-Door Car,Medsize,2011-02-01,2,1
149,Oregon,1,Premium,College,Unemployed,0,Suburban,Married,Corporate Auto,2,1,Branch,Four-Door Car,Large,2011-02-28,2,28
150,Washington,0,Basic,Bachelor,Employed,0,Suburban,Single,Personal Auto,2,4,Branch,Four-Door Car,Small,2011-01-31,1,31
151,Washington,1,Basic,High School or Below,Employed,0,Rural,Married,Personal Auto,3,2,Agent,Sports Car,Medsize,2011-02-17,2,17
152,Arizona,0,Extended,High School or Below,other,0,Suburban,Married,Personal Auto,3,4,Agent,SUV,Medsize,2011-02-12,2,12
153,Arizona,0,Extended,Bachelor,other,1,Rural,Married,Personal Auto,1,1,Branch,SUV,Medsize,2011-02-24,2,24
154,California,0,Basic,Bachelor,Employed,1,Urban,Single,Personal Auto,3,2,Branch,Four-Door Car,Medsize,2011-02-01,2,1
155,California,0,Basic,High School or Below,Employed,0,Suburban,Married,Personal Auto,2,2,Web,Four-Door Car,Small,2011-02-06,2,6
156,Oregon,0,Extended,College,Employed,0,Rural,Single,Personal Auto,2,3,Agent,Four-Door Car,Medsize,2011-01-23,1,23
157,Oregon,0,Extended,Bachelor,Employed,1,Suburban,Married,Personal Auto,2,2,Agent,Four-Door Car,Small,2011-01-21,1,21
158,Arizona,1,Basic,College,other,0,Suburban,Married,Personal Auto,3,2,Agent,Sports Car,Medsize,2011-01-20,1,20
159,Arizona,0,Basic,Bachelor,Employed,1,Rural,Married,Personal Auto,2,1,Web,Two-Door Car,Large,2011-01-06,1,6
160,California,0,Basic,High School or Below,Unemployed,0,Suburban,Married,Corporate Auto,3,2,Agent,Two-Door Car,Medsize,2011-02-22,2,22
161,Washington,0,Basic,College,Employed,1,Urban,Married,Personal Auto,1,1,Agent,SUV,Medsize,2011-02-27,2,27
162,California,1,Basic,College,Unemployed,1,Suburban,Divorced,Personal Auto,3,1,Agent,SUV,Medsize,2011-02-21,2,21
163,Washington,1,Basic,Bachelor,other,1,Suburban,Single,Personal Auto,1,1,Branch,Four-Door Car,Medsize,2011-01-29,1,29
164,California,0,Extended,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Medsize,2011-02-22,2,22
165,Oregon,0,Basic,Master,other,0,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-02-21,2,21
166,California,0,Basic,Bachelor,Unemployed,1,Suburban,Single,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-01-10,1,10
167,California,1,Basic,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,1,1,Agent,Four-Door Car,Small,2011-01-18,1,18
168,Oregon,0,Extended,High School or Below,Employed,1,Urban,Divorced,Personal Auto,2,3,Agent,Four-Door Car,Medsize,2011-01-16,1,16
169,California,0,Basic,High School or Below,Unemployed,1,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-01-06,1,6
170,California,0,Basic,College,other,0,Suburban,Married,Personal Auto,1,4,Branch,Four-Door Car,Medsize,2011-01-27,1,27
171,Oregon,0,Premium,Doctor,other,1,Urban,Divorced,Personal Auto,3,2,Agent,Four-Door Car,Medsize,2011-01-15,1,15
172,Nevada,0,Basic,College,Employed,1,Rural,Divorced,Personal Auto,3,3,Agent,Four-Door Car,Medsize,2011-01-09,1,9
173,Nevada,0,Basic,College,Unemployed,1,Suburban,Married,Personal Auto,2,3,Agent,Four-Door Car,Small,2011-01-28,1,28
174,California,1,Basic,High School or Below,Employed,0,Suburban,Single,Personal Auto,2,2,Call Center,Four-Door Car,Medsize,2011-02-26,2,26
175,California,0,Basic,Bachelor,Employed,1,Rural,Married,Personal Auto,2,2,Call Center,Sports Car,Medsize,2011-01-04,1,4
176,Washington,0,Basic,College,Employed,1,Rural,Married,Personal Auto,2,2,Agent,SUV,Medsize,2011-02-01,2,1
177,Arizona,0,Basic,Bachelor,Employed,1,Urban,Married,Personal Auto,3,2,Call Center,Two-Door Car,Medsize,2011-01-27,1,27
178,Washington,0,Basic,College,Unemployed,1,Suburban,Single,Personal Auto,3,3,Web,Two-Door Car,Medsize,2011-02-14,2,14
179,California,0,Basic,Bachelor,Employed,1,Suburban,Divorced,Personal Auto,2,2,Call Center,Sports Car,Small,2011-01-23,1,23
180,California,0,Premium,Bachelor,Unemployed,1,Suburban,Married,Personal Auto,2,1,Agent,Four-Door Car,Medsize,2011-02-18,2,18
181,Nevada,0,Extended,Bachelor,Employed,1,Suburban,Married,Personal Auto,3,3,Branch,Luxury,Medsize,2011-01-24,1,24
182,Oregon,0,Basic,High School or Below,Employed,0,Suburban,Married,Personal Auto,2,2,Branch,Four-Door Car,Large,2011-02-18,2,18
183,Nevada,0,Extended,Bachelor,Employed,0,Suburban,Single,Personal Auto,2,4,Agent,Four-Door Car,Small,2011-01-19,1,19
184,California,0,Basic,Bachelor,Unemployed,0,Suburban,Single,Personal Auto,3,1,Agent,SUV,Medsize,2011-01-04,1,4
185,California,0,Basic,High School or Below,Employed,1,Suburban,Single,Personal Auto,3,3,Call Center,SUV,Small,2011-02-07,2,7
186,California,0,Basic,College,Employed,1,Suburban,Single,Corporate Auto,3,2,Branch,SUV,Medsize,2011-01-30,1,30
187,Arizona,1,Extended,Bachelor,Employed,1,Suburban,Married,Personal Auto,1,2,Agent,SUV,Medsize,2011-02-17,2,17
188,California,0,Extended,Bachelor,Employed,1,Urban,Single,Personal Auto,1,3,Branch,Four-Door Car,Medsize,2011-01-13,1,13
189,Oregon,0,Extended,College,Employed,0,Urban,Married,Personal Auto,3,3,Branch,Four-Door Car,Medsize,2011-02-08,2,8
190,California,0,Basic,Master,Employed,0,Urban,Married,Special Auto,2,4,Web,SUV,Medsize,2011-01-29,1,29
191,California,0,Basic,High School or Below,Unemployed,1,Suburban,Single,Special Auto,3,4,Branch,Two-Door Car,Small,2011-02-05,2,5
192,California,0,Basic,Bachelor,Employed,0,Suburban,Married,Personal Auto,3,2,Branch,Two-Door Car,Medsize,2011-01-20,1,20
193,Oregon,0,Basic,Bachelor,Employed,1,Suburban,Married,Personal Auto,2,4,Agent,Two-Door Car,Small,2011-01-27,1,27
194,Arizona,0,Basic,High School or Below,Unemployed,1,Suburban,Divorced,Personal Auto,2,1,Branch,Four-Door Car,Small,2011-01-09,1,9
195,Washington,0,Extended,Bachelor,Employed,1,Suburban,Married,Personal Auto,3,1,Agent,Four-Door Car,Small,2011-01-11,1,11
196,Oregon,0,Premium,High School or Below,Employed,0,Suburban,Single,Corporate Auto,3,4,Web,Luxury,Medsize,2011-02-17,2,17
197,Oregon,0,Basic,Bachelor,Employed,0,Rural,Single,Special Auto,3,1,Branch,Four-Door Car,Medsize,2011-02-16,2,16
198,Washington,0,Extended,High School or Below,Unemployed,1,Suburban,Single,Personal Auto,1,3,Branch,Two-Door Car,Medsize,2011-02-10,2,10
199,California,1,Extended,College,Employed,0,Suburban,Married,Personal Auto,1,1,Branch,Four-Door Car,Medsize,2011-02-19,2,19
200,California,0,Premium,Master,other,1,Suburban,Single,Personal Auto,1,1,Call Center,SUV,Medsize,2011-01-21,1,21
201,Nevada,1,Extended,Bachelor,other,1,Suburban,Single,Personal Auto,3,1,Agent,SUV,Medsize,2011-02-27,2,27
